"customer_id","cpf","first_name","last_name","state","city","birth_date","income","score","professional_status","email","mobile","customer_age"
"A97FE8FCE349","89002035022","LYS","GENAI","SC","LAGES","2001-11-11","5000","588","clt","lys.genai238662@gmail.com","86720238662","23"
"D95336BFDA32","83416862512","AMAIA","ROGGER","SC","LAGES","1957-01-01","5000","459","clt","amaia.rogger761236@gmail.com","97873761236","67"
"00B1B37C4245","43770976130","LIONICE","ARECI","SC","LAGES","1980-06-17","5000","387","clt","lionice.areci561546@gmail.com","99635561546","44"
"44A2F468EBB0","83574259878","ERMILINDA","DUARTE","SP","SÃO PAULO","1997-08-06","5300","477","clt","ermilinda.duarte097020@gmail.com","90218097020","27"
"6456D376BD1B","86961748666","SHEYLLA","ADEILDO","SP","COTIA","1960-03-23","4000","862","retired","sheylla.adeildo561182@gmail.com","04642561182","64"
"6B5AB365E94C","62227762694","GIHAD","GENAI","MG","SABARÁ","1967-11-01","3800","650","clt","gihad.genai190124@gmail.com","83713190124","57"
"B2992D4B205A","31381080604","LAURISIA","DUARTE","SP","ITAPEVI","1988-04-27","4750","387","clt","laurisia.duarte809664@gmail.com","69075809664","36"
"2A3BF4D4FDC0","01281903324","LYS","LYS","SP","GUARULHOS","1960-02-29","6000","453","retired","lys.lys031114@gmail.com","85267031114","64"
"77EBAB43C66C","34223291454","LYS","GENAI","SP","SOROCABA","1980-01-26","4300","630","clt","lys.genai530156@gmail.com","36708530156","44"
"8952EB251FB1","96789320432","WELE","JESKA","SP","ITAPEVI","1967-07-04","5000","325","clt","wele.jeska482094@gmail.com","98880482094","57"
