"email","city","state"
"cleudine.duarte661670@gmail.com","BELO HORIZONTE","MG"
"aurete.duarte848990@gmail.com","BELO HORIZONTE","MG"
"reidison.evanucia629692@gmail.com","CÓRREGO DO BOM JESUS","MG"
"dalmir.lauricio995880@gmail.com","BELO HORIZONTE","MG"
"admilda.areci668352@gmail.com","BETIM","MG"
"ivoneto.jerulino436540@gmail.com","FORMIGA","MG"
"reidison.lidovina196410@gmail.com","SANTA BÁRBARA","MG"
"nadege.ulio335094@gmail.com","BELO HORIZONTE","MG"
"izon.djara688772@gmail.com","PIRAPORA","MG"
"ivonelia.lauricio155700@gmail.com","PAINS","MG"
"nislane.lauricio434316@gmail.com","VESPASIANO","MG"
"albetania.francilu272216@gmail.com","MONTES CLAROS","MG"
"sheylla.lauricio321180@gmail.com","CAMPO NOVO DO PARECIS","MT"
"cleytiane.hanrry715952@gmail.com","PASSOS","MG"
"nelzo.francilu639390@gmail.com","ESMERALDAS","MG"
"neida.duarte660872@gmail.com","BELO HORIZONTE","MG"
"albetania.shenia800092@gmail.com","IBIRACI","MG"
"cleuziane.jandisom059556@gmail.com","BELO HORIZONTE","MG"
"damares.raguel705544@gmail.com","BURITIS","MG"
"isailda.gedinalva166794@gmail.com","OURO PRETO","MG"
"clevandira.duarte381438@gmail.com","CONTAGEM","MG"
"neilon.duarte867692@gmail.com","VESPASIANO","MG"
"izabelina.lauricio990010@gmail.com","BOCAIÚVA","MG"
"ermilinda.rafani525602@gmail.com","MONTES CLAROS","MG"
"dalel.udenilton490178@gmail.com","CONGONHAS","MG"
"adirton.areci045668@gmail.com","SABARÁ","MG"
"alaiso.geliza886714@gmail.com","PIUMHI","MG"
"nilsan.lauricio645344@gmail.com","BELO HORIZONTE","MG"
"irislaine.lauricio671158@gmail.com","BELO HORIZONTE","MG"
"daleti.lauricio842040@gmail.com","RIBEIRÃO DAS NEVES","MG"
"islaila.udilma522148@gmail.com","CONTAGEM","MG"
"kevilen.lauricio754452@gmail.com","MATEUS LEME","MG"
"laudiseia.estalin407062@gmail.com","BELO HORIZONTE","MG"
"ermi.nabor996818@gmail.com","CAMPESTRE","MG"
"clevandira.duarte362142@gmail.com","POÇOS DE CALDAS","MG"
"adjanira.duarte740738@gmail.com","RIBEIRÃO DAS NEVES","MG"
"neirilane.francilu153482@gmail.com","SÃO GONÇALO DO RIO ABAIXO","MG"
"ivonara.jussario565868@gmail.com","ALFENAS","MG"
"neida.edinomar860934@gmail.com","BELO VALE","MG"
"ermerinda.hanrry518218@gmail.com","RIBEIRÃO DAS NEVES","MG"
"klenilton.argenildo912018@gmail.com","POÇOS DE CALDAS","MG"
"kevilen.luzidete240166@gmail.com","BELO HORIZONTE","MG"
"lawanda.naaman363416@gmail.com","FREI LAGONEGRO","MG"
"sirlano.edirlania713676@gmail.com","SALINAS","MG"
"cleytiane.lauricio079298@gmail.com","LAMBARI","MG"
"viviene.duarte839892@gmail.com","GOVERNADOR VALADARES","MG"
"jusselina.areci632740@gmail.com","RIBEIRÃO DAS NEVES","MG"
"haloisio.ivna899376@gmail.com","PASSOS","MG"
"aulerino.lauricio523852@gmail.com","PAINS","MG"
"aurenizia.genai644270@gmail.com","CONTAGEM","MG"
"jelaine.livingstone453376@gmail.com","BELO HORIZONTE","MG"
"adones.adeildo137252@gmail.com","PIUMHI","MG"
"nabucodonosor.duarte463452@gmail.com","MONTES CLAROS","MG"
"ermison.clessio722240@gmail.com","BELO HORIZONTE","MG"
"aurenizia.hanrry449612@gmail.com","JABOTICATUBAS","MG"
"erna.lauricio497686@gmail.com","MONTE AZUL","MG"
"laurecy.hanrry781160@gmail.com","TRÊS CORAÇÕES","MG"
"estefesson.francilu323774@gmail.com","NOVA LIMA","MG"
"sheilane.genai896066@gmail.com","CAMPO BELO","MG"
"jemenson.lauricio184248@gmail.com","SARZEDO","MG"
"aurenizia.adeangela532844@gmail.com","SÃO JOÃO DEL REI","MG"
"irleane.duarte020502@gmail.com","MANGA","MG"
"nilzeli.lauricio685642@gmail.com","BETIM","MG"
"jeneilson.duarte434642@gmail.com","RIBEIRÃO DAS NEVES","MG"
"izaela.lauricio195730@gmail.com","GUAXUPÉ","MG"
"adejailma.eliziana659962@gmail.com","CUIABÁ","MT"
"jeneilson.luzidete314100@gmail.com","BELO HORIZONTE","MG"
"sinair.geliza074614@gmail.com","UBERABA","MG"
"esterlania.genai172564@gmail.com","CUIABÁ","MT"
"netor.luisy279916@gmail.com","RIBEIRÃO DAS NEVES","MG"
"chrystiane.leilton489434@gmail.com","TRÊS CORAÇÕES","MG"
"tafarel.areci787326@gmail.com","BETIM","MG"
"esa.duarte240012@gmail.com","POÇOS DE CALDAS","MG"
"elizom.lielson569812@gmail.com","RIBEIRÃO DAS NEVES","MG"
"siron.duarte624916@gmail.com","BRUMADINHO","MG"
"evelandia.anayza198106@gmail.com","CUIABÁ","MT"
"dalmar.lauricio535726@gmail.com","CASCALHO RICO","MG"
"ielma.francilu387406@gmail.com","BELO HORIZONTE","MG"
"rosenilva.deusenita061426@gmail.com","ESMERALDAS","MG"
"gilceli.jenifer347968@gmail.com","BELO HORIZONTE","MG"
"deilton.genai831842@gmail.com","IBIRITÉ","MG"
"laudiseia.eliziana083098@gmail.com","BOM JARDIM DE MINAS","MG"
"orma.duarte096640@gmail.com","BETIM","MG"
"laurisia.janimara814482@gmail.com","NOVA LIMA","MG"
"oana.francilu285640@gmail.com","BELO HORIZONTE","MG"
"fredolino.jesina942738@gmail.com","MONTES CLAROS","MG"
"iezo.dherik013314@gmail.com","NOVA LIMA","MG"
"lenisson.urbana214552@gmail.com","BETIM","MG"
"dalyson.deusomar512418@gmail.com","ESMERALDAS","MG"
"sheylla.geliza245156@gmail.com","TANGARÁ DA SERRA","MT"
"lauriano.francilu643862@gmail.com","IBIRACI","MG"
"thilda.marthus602920@gmail.com","CARMO DO RIO CLARO","MG"
"nuala.jesina350110@gmail.com","MONTES CLAROS","MG"
"jaelsa.eliziana656912@gmail.com","FRONTEIRA","MG"
"ezidio.lauricio372538@gmail.com","BETIM","MG"
"isterfane.genai578172@gmail.com","BELO HORIZONTE","MG"
"cleudis.duarte536720@gmail.com","BELO HORIZONTE","MG"
"neidilson.kamylly182628@gmail.com","ITAÚ DE MINAS","MG"
"dalcino.umbelina536784@gmail.com","BELO HORIZONTE","MG"
"orvalino.ercina311202@gmail.com","BARRA DO GARÇAS","MT"
"iumara.genai234102@gmail.com","POMPÉU","MG"
"orlete.areci578638@gmail.com","SANTA LUZIA","MG"
"alaim.rafani151246@gmail.com","BELO HORIZONTE","MG"
"toshinori.lauricio680326@gmail.com","BETIM","MG"
"felisangela.edinomar142356@gmail.com","BELO HORIZONTE","MG"
"adejailma.mericiana189918@gmail.com","BELO HORIZONTE","MG"
"lindecir.lauricio235574@gmail.com","CONTAGEM","MG"
"thiemi.shenia920080@gmail.com","BELO HORIZONTE","MG"
"aldice.herminha095792@gmail.com","UBERABA","MG"
"ivine.duarte002624@gmail.com","VESPASIANO","MG"
"estefesson.shenia404636@gmail.com","ITATIAIUÇU","MG"
"iveta.jucikeli282948@gmail.com","ITAÚ DE MINAS","MG"
"aldenildo.eliziana406720@gmail.com","BELO HORIZONTE","MG"
"izaela.eliziana407852@gmail.com","BELO HORIZONTE","MG"
"nurian.monalissa789884@gmail.com","CUIABÁ","MT"
"leivino.genai883308@gmail.com","BETIM","MG"
"adonilde.ednna396528@gmail.com","SÃO SEBASTIÃO DO PARAÍSO","MG"
"francione.livrada049096@gmail.com","BOTUMIRIM","MG"
"lys.dalmar235942@gmail.com","BETIM","MG"
"krysna.edison011438@gmail.com","BETIM","MG"
"ivonelia.rosinal044688@gmail.com","BETIM","MG"
"wynny.sharom794604@gmail.com","BETIM","MG"
"frederico.duarte332966@gmail.com","JOÃO MONLEVADE","MG"
"thuan.lauricio699178@gmail.com","BETIM","MG"
"darleno.shenia758930@gmail.com","BELO HORIZONTE","MG"
"alaim.jucela342696@gmail.com","BETIM","MG"
"taniele.rafani318204@gmail.com","RIBEIRÃO DAS NEVES","MG"
"numeriano.duarte453974@gmail.com","SÃO SEBASTIÃO DO PARAÍSO","MG"
"sheylla.lauricio468064@gmail.com","BELO HORIZONTE","MG"
"odenil.estener131246@gmail.com","CALDAS","MG"
"amaly.adeildo095984@gmail.com","LAGOA SANTA","MG"
"izabelina.lauricio633856@gmail.com","BETIM","MG"
"laydson.lauricio920790@gmail.com","CONTAGEM","MG"
"dealmo.lauricio532122@gmail.com","INHAÚMA","MG"
"jaciva.estener691550@gmail.com","SANTA LUZIA","MG"
"ivaney.urbana309474@gmail.com","VÁRZEA GRANDE","MT"
"aldice.deusomar541000@gmail.com","JUIZ DE FORA","MG"
"nobuhiro.duarte769792@gmail.com","BELO HORIZONTE","MG"
"felissa.luzidete225174@gmail.com","CORONEL MURTA","MG"
"sino.duarte776862@gmail.com","MATEUS LEME","MG"
"lindecir.sharom187932@gmail.com","CONTAGEM","MG"
"tiffanny.adeildo320240@gmail.com","FORMIGA","MG"
"ocineide.duarte113024@gmail.com","SANTA LUZIA","MG"
"laurisia.deusenita679230@gmail.com","BETIM","MG"
"francineuma.darciane507142@gmail.com","IBIRITÉ","MG"
"cedson.duarte585814@gmail.com","BELO HORIZONTE","MG"
"wydson.geliza218302@gmail.com","BELO HORIZONTE","MG"
"sheylla.ivna586394@gmail.com","CONTAGEM","MG"
"isailda.edinomar370376@gmail.com","SABARÁ","MG"
"joneilson.orma068296@gmail.com","RIBEIRÃO DAS NEVES","MG"
"francimeiry.selvita133248@gmail.com","VESPASIANO","MG"
"takaco.lauricio773844@gmail.com","BETIM","MG"
"albanira.wanja026234@gmail.com","BETIM","MG"
"jutair.geliza542356@gmail.com","BETIM","MG"
"gidiel.duarte708306@gmail.com","CONTAGEM","MG"
"nielsen.francilu957038@gmail.com","MONTE AZUL","MG"
"roselne.juceneide280238@gmail.com","FORMIGA","MG"
"simiramis.webber281876@gmail.com","CAMPANHA","MG"
"francinele.antonilsa163678@gmail.com","OURO PRETO","MG"
"kosei.duarte483886@gmail.com","PASSOS","MG"
"sirleis.myller041914@gmail.com","BELO HORIZONTE","MG"
"nilzeli.lauricio414690@gmail.com","RIBEIRÃO DAS NEVES","MG"
"nobuhiro.gedinalva128370@gmail.com","SETE LAGOAS","MG"
"adivanete.antonilsa113278@gmail.com","BELO HORIZONTE","MG"
"tales.francilu687332@gmail.com","ALFENAS","MG"
"leonarda.duarte140300@gmail.com","BELO HORIZONTE","MG"
"jaislene.fracisca805514@gmail.com","ELÓI MENDES","MG"
"elizom.cleslei576274@gmail.com","BELO HORIZONTE","MG"
"gigliola.genai903584@gmail.com","BETIM","MG"
"sheylla.livingstone835008@gmail.com","FERROS","MG"
"norrara.lauricio285480@gmail.com","ALTEROSA","MG"
"adones.deusenita303076@gmail.com","BELO HORIZONTE","MG"
"nikael.romaci798656@gmail.com","POÇOS DE CALDAS","MG"
"jonaldo.venes935638@gmail.com","IBIRITÉ","MG"
"orlanei.lauricio526122@gmail.com","RIBEIRÃO DAS NEVES","MG"
"nildecir.antonira409198@gmail.com","SARZEDO","MG"
"cleudon.francilu226704@gmail.com","CONTAGEM","MG"
"theyllor.livrada549390@gmail.com","IBIRITÉ","MG"
"alanes.shenia030368@gmail.com","VESPASIANO","MG"
"klenilton.geliza130544@gmail.com","LUCAS DO RIO VERDE","MT"
"lerica.bernevaldo546974@gmail.com","BETIM","MG"
"elizilda.duarte408104@gmail.com","SANTA LUZIA","MG"
"freitas.genai689776@gmail.com","ÁGUA BOA","MT"
"adneusa.jenifer925736@gmail.com","BETIM","MG"
"alzair.dhiemeson010550@gmail.com","JUIZ DE FORA","MG"
"tassya.guiomario752146@gmail.com","SABARÁ","MG"
"adjalmir.francilu066486@gmail.com","CONTAGEM","MG"
"osamu.duarte131542@gmail.com","JANUÁRIA","MG"
"nelzo.iracele344152@gmail.com","BELO HORIZONTE","MG"
"derci.livrada583546@gmail.com","IBIAÍ","MG"
"adejailma.antonilsa399026@gmail.com","PASSOS","MG"
"rosemairi.elidir093154@gmail.com","CONCEIÇÃO DAS ALAGOAS","MG"
"dioggo.lauricio418926@gmail.com","BELO HORIZONTE","MG"
"estevita.antonilsa127108@gmail.com","EXTREMA","MG"
"ernelson.duarte050482@gmail.com","MONTE SANTO DE MINAS","MG"
"jonhn.adeildo222394@gmail.com","SETE LAGOAS","MG"
"nilsirene.uzi495486@gmail.com","ALFENAS","MG"
"cleusina.judinei112364@gmail.com","BELO HORIZONTE","MG"
"izabelina.suzymara689020@gmail.com","BOCAIÚVA","MG"
"ivini.lauricio462120@gmail.com","ILICÍNEA","MG"
"esteliane.fracisca768276@gmail.com","BELO HORIZONTE","MG"
"laurisia.castro118242@gmail.com","SANTA LUZIA","MG"
"aurenizia.duarte284152@gmail.com","DIAMANTINO","MT"
"alaim.gemile072794@gmail.com","CONTAGEM","MG"
"vailda.lauricio524446@gmail.com","BELO HORIZONTE","MG"
"edislandia.luzidete876290@gmail.com","BELO HORIZONTE","MG"
"nobuhiro.lidovina398222@gmail.com","BETIM","MG"
"vagnolia.francilu379588@gmail.com","MONTES CLAROS","MG"
"evaldson.estener212912@gmail.com","GOVERNADOR VALADARES","MG"
"esterfeson.adeangela932838@gmail.com","BELO HORIZONTE","MG"
"adivanete.ramiele901444@gmail.com","BELO HORIZONTE","MG"
"adeis.francilu969228@gmail.com","AREADO","MG"
"sherry.djaci811104@gmail.com","BELO HORIZONTE","MG"
"raimuda.rafani380862@gmail.com","RONDONÓPOLIS","MT"
"idiney.jesina339516@gmail.com","CONTAGEM","MG"
"analuiza.jussilaine289022@gmail.com","SANTA LUZIA","MG"
"dalyson.niles341058@gmail.com","RIBEIRÃO DAS NEVES","MG"
"cleusina.cleucivania346076@gmail.com","RIBEIRÃO DAS NEVES","MG"
"suzymara.lielson201296@gmail.com","PASSOS","MG"
"ivonice.shenia801142@gmail.com","BELO HORIZONTE","MG"
"esthefani.lorrene411758@gmail.com","MACHADO","MG"
"simauro.lauricio118492@gmail.com","ITABIRITO","MG"
"shigueco.genai022654@gmail.com","BRUMADINHO","MG"
"ervelly.duarte764340@gmail.com","CAMPO BELO","MG"
"harllen.ederval680854@gmail.com","BARÃO DE COCAIS","MG"
"edivando.aryani339050@gmail.com","MARTINHO CAMPOS","MG"
"valdite.lauricio585890@gmail.com","JUIZ DE FORA","MG"
"iure.filomena487630@gmail.com","MONTES CLAROS","MG"
"juvenicio.aksa262796@gmail.com","MARIANA","MG"
"jenauro.neidilson742844@gmail.com","SINOP","MT"
"inar.ramiele374476@gmail.com","BELO HORIZONTE","MG"
"adejailma.jussilaine414534@gmail.com","MONTES CLAROS","MG"
"emelice.geliza917662@gmail.com","BELO HORIZONTE","MG"
"sheylla.shenia628078@gmail.com","MONTES CLAROS","MG"
"rainiele.duarte659476@gmail.com","SERRO","MG"
"lusieli.adeildo451626@gmail.com","RIACHO DOS MACHADOS","MG"
"dalzirene.francilu291028@gmail.com","VÁRZEA GRANDE","MT"
"loneide.lauricio134706@gmail.com","NOVA LIMA","MG"
"jankiel.duarte217468@gmail.com","RIBEIRÃO DAS NEVES","MG"
"viviene.umbelina533324@gmail.com","BELO HORIZONTE","MG"
"evandro.genai361498@gmail.com","CONTAGEM","MG"
"janivalda.dhiemeson319432@gmail.com","CONTAGEM","MG"
"padilha.vam536824@gmail.com","BELO HORIZONTE","MG"
"ermi.guttemberg832324@gmail.com","POÇOS DE CALDAS","MG"
"aldeira.luzidete641740@gmail.com","BELO HORIZONTE","MG"
"jaciva.fracisca371500@gmail.com","SANTA LUZIA","MG"
"niles.duarte014794@gmail.com","SABARÁ","MG"
"izabelina.monalissa151768@gmail.com","PRIMAVERA DO LESTE","MT"
"suzene.genai752064@gmail.com","CUIABÁ","MT"
"sheylla.jesina790996@gmail.com","BELO HORIZONTE","MG"
"sheylla.wendei920270@gmail.com","PASSABÉM","MG"
"clobson.giseldo881090@gmail.com","BELO HORIZONTE","MG"
"dalmar.deuzamar516924@gmail.com","UBERABA","MG"
"evilane.lauricio244528@gmail.com","JANUÁRIA","MG"
"arakem.shenia983350@gmail.com","CORONEL FABRICIANO","MG"
"lerissa.ramiele840684@gmail.com","POÇOS DE CALDAS","MG"
"raimuno.areci561980@gmail.com","SÃO JOAQUIM DE BICAS","MG"
"damasio.nabor117174@gmail.com","RONDONÓPOLIS","MT"
"deybson.duarte743678@gmail.com","CONTAGEM","MG"
"izabelina.niles280496@gmail.com","SANTA LUZIA","MG"
"ozivane.areci663166@gmail.com","UBERLÂNDIA","MG"
"alarico.francilu695958@gmail.com","RIBEIRÃO DAS NEVES","MG"
"viviene.ulio881986@gmail.com","MACHADO","MG"
"neilde.urbana783828@gmail.com","RONDONÓPOLIS","MT"
"sheylla.lauricio708986@gmail.com","BELO HORIZONTE","MG"
"ervelly.duarte595866@gmail.com","BELO HORIZONTE","MG"
"neilde.duarte180472@gmail.com","POÇOS DE CALDAS","MG"
"sheylla.bertil538418@gmail.com","ALFENAS","MG"
"lauriano.jesina327700@gmail.com","BELO HORIZONTE","MG"
"ivanilde.lauricio493036@gmail.com","RIBEIRÃO DAS NEVES","MG"
"nislane.caticilene187340@gmail.com","CURVELO","MG"
"adones.duarte799340@gmail.com","RIBEIRÃO DAS NEVES","MG"
"nenivaldo.estebam270714@gmail.com","BELO HORIZONTE","MG"
"luizo.antonira629348@gmail.com","MONTES CLAROS","MG"
"harim.deusidete155014@gmail.com","BELO HORIZONTE","MG"
"sheylla.duarte266360@gmail.com","CAMPO FLORIDO","MG"
"tamile.elgar592498@gmail.com","RIO ACIMA","MG"
"loamy.deusidete089282@gmail.com","BETIM","MG"
"evanjivaldo.duarte535982@gmail.com","POÇOS DE CALDAS","MG"
"suzielem.lauricio655968@gmail.com","BETIM","MG"
"ermison.lorien006872@gmail.com","BELO HORIZONTE","MG"
"toshinori.gedielson370108@gmail.com","IPATINGA","MG"
"ivonides.deusomar161354@gmail.com","TAQUARAÇU DE MINAS","MG"
"cleudon.duarte551322@gmail.com","CONTAGEM","MG"
"ulisson.benuzia005826@gmail.com","MUNHOZ","MG"
"harlei.luzina268856@gmail.com","CONGONHAS","MG"
"gelvana.areci561516@gmail.com","FELIXLÂNDIA","MG"
"adrisom.livrada921538@gmail.com","POÇOS DE CALDAS","MG"
"ledenilson.duarte136950@gmail.com","JOAQUIM FELÍCIO","MG"
