"customer_id","cpf","first_name","last_name","state","city","birth_date","income","score","professional_status","email","mobile"
"CE12713C8FCD","74020716260","IYAN","SELVITA","SP","PIRACAIA","1980-01-12","70000","380","clt","iyan.selvita274394@gmail.com","69796274394"
"958AE81338E8","77849979196","VIVIENE","LUZAMIRA","SP","ARUJÁ","1995-05-30","70000","319","clt","viviene.luzamira199016@gmail.com","73348199016"
"485FFCBEB1AB","80846898560","EVILANE","DILIS","SP","ARARAQUARA","1991-05-21","70000","367","clt","evilane.dilis840810@gmail.com","55449840810"
"FB7EE3FE8D0E","62785382856","IRINELDO","LAURICIO","SP","ITAQUAQUECETUBA","1989-02-01","70000","754","clt","irineldo.lauricio498676@gmail.com","98235498676"
"E52ECFD52B58","25404218474","ESTEVITA","NALRA","SP","BARUERI","1960-10-05","70000","293","businessman","estevita.nalra118864@gmail.com","43697118864"
"62138E7D07DF","50758483284","ESTEVANIA","GENAI","SP","BRAGANÇA PAULISTA","1948-06-20","70000","380","businessman","estevania.genai049368@gmail.com","28825049368"
"D17B11CD4D8A","75335555622","CLOBSON","MAUDE","SP","PIRACAIA","1967-12-22","70000","282","businessman","clobson.maude693658@gmail.com","74400693658"
"C34CB6C46E28","60932278944","IVETA","JOISOM","SP","SÃO PAULO","1987-01-27","70000","461","clt","iveta.joisom365584@gmail.com","43107365584"
"B071E433EB05","54178016052","NILSSON","KHEREN","ES","COLATINA","1970-01-17","70000","293","freelancer","nilsson.kheren420352@gmail.com","37480420352"
"16398EC19872","21007862008","JONALDO","DUARTE","SP","SÃO PAULO","1997-11-16","70000","334","civil_servant","jonaldo.duarte608668@gmail.com","06709608668"
"5C4BCEF5B2C0","16642898304","DALSILENE","ANDREIKE","SP","SÃO PAULO","1975-09-21","70000","652","businessman","dalsilene.andreike099076@gmail.com","43064099076"
"653E9DB93EFE","17259742220","JACINTO","EDISON","SP","GUARULHOS","1987-12-26","70000","607","businessman","jacinto.edison417272@gmail.com","43617417272"
"A1374160A681","71964876220","KLEANE","DUARTE","SP","SÃO PAULO","1999-04-22","70000","498","self_employed","kleane.duarte964400@gmail.com","37953964400"
"BB8C7E633E28","44143077114","DEONIZE","ARECI","SP","SÃO PAULO","1993-05-17","70000","414","civil_servant","deonize.areci100208@gmail.com","57274100208"
"B8B8D07B1046","99703195880","SINO","ARECI","SP","COTIA","1986-02-21","70000","646","other","sino.areci211818@gmail.com","98196211818"
"698B4C87DACC","19875623370","CLEUCI","UDNEY","SP","JUNDIAÍ","1963-06-26","70000","358","clt","cleuci.udney608860@gmail.com","95168608860"
"2E974FF0C07F","16724946358","DIOGNES","GELIZA","SP","DIADEMA","1944-08-22","70000","252","clt","diognes.geliza510922@gmail.com","61910510922"
"CC076CFE2334","51273681622","DEILDE","DUARTE","SP","SÃO PAULO","1961-04-16","70000","256","clt","deilde.duarte582808@gmail.com","01400582808"
"553146715B18","24251358178","ADRISOM","FRANCILU","SP","JOANÓPOLIS","1992-11-22","70000","290","clt","adrisom.francilu877152@gmail.com","99730877152"
"39BDED9A4025","83040566220","SIDLANE","LAURICIO","SP","SÃO PAULO","1955-02-22","70000","443","retired","sidlane.lauricio317508@gmail.com","51034317508"
"E87E0A64A19C","03711989794","DALYSON","FRANCILU","SP","BARUERI","1997-05-21","70000","354","freelancer","dalyson.francilu821754@gmail.com","49801821754"
"EB191840A15F","32487367668","NEIDA","LIVRADA","SP","SANTOS","1984-11-19","70000","517","retired","neida.livrada297066@gmail.com","65560297066"
"566BACD07C33","40685159178","MECILENE","LORHANE","SP","EMBU DAS ARTES","1995-11-22","70000","879","freelancer","mecilene.lorhane585842@gmail.com","09697585842"
"CCC57EFC0EFA","21833012218","FRANCESLY","JOSILINE","SP","BEBEDOURO","1977-03-21","70000","663","businessman","francesly.josiline276336@gmail.com","08325276336"
